Species,Gender,Ethicity,Index,First,Index2,Last
Dragonborn,Male,,35,Patrin,35,Pyraxtallinost
Dragonborn,Male,,36,Pijjirik,36,Qyxpahrgh
Dragonborn,Male,,37,Quarethon,37,Raghthroknaar
Dragonborn,Male,,38,Rathkran,38,Shestendeliath
Dragonborn,Male,,39,Rhogar,39,Skaarzborroosh
Dragonborn,Male,,40,Rivaan,40,Sumnarghthrysh
Dragonborn,Male,,41,Sethrekar,41,Tiammanthyllish
Dragonborn,Male,,42,Shamash,42,Turnuroth
Dragonborn,Male,,43,Shedinn,43,Umbyrphrael
Dragonborn,Male,,44,Srorthen,44,Vangdondalor
Dragonborn,Male,,45,Tarhun,45,Verthisathurgiesh
Dragonborn,Male,,46,Torinn,46,Wivvyrholdalphiax
Dragonborn,Male,,47,Trynnicus,47,Wystongjiir
Dragonborn,Male,,48,Valorean,48,Xephyrbahnor
Dragonborn,Male,,49,Vrondiss,49,Yarjerit
Dragonborn,Male,,50,Zedaar,50,Zzzxaaxthroth
Aarakocran,Female,,1,Gree,,
Aarakocran,Female,,2,Erc,,
Aarakocran,Female,,3,Clarer,,
Aarakocran,Female,,4,Di,,
Aarakocran,Female,,5,Us,,
Aarakocran,Female,,6,Darie,,
Aarakocran,Female,,7,Cle,,
Aarakocran,Female,,8,Sud,,
Aarakocran,Female,,9,Yerr,,
Aarakocran,Female,,10,Darc,,
Aarakocran,Female,,11,Ourr,,
Aarakocran,Female,,12,Zeqa,,
Aarakocran,Female,,13,Qlaera,,
Aarakocran,Female,,14,Rhi,,
Aarakocran,Female,,15,Rhee,,
Aarakocran,Female,,16,Sucirc,,
Aarakocran,Female,,17,Ga,,
Aarakocran,Female,,18,Qruqid,,
Aarakocran,Female,,19,Ucca,,
Aarakocran,Female,,20,Kikec,,
Aarakocran,Female,,21,Rukkarc,,
Aarakocran,Female,,22,Krul,,
Aarakocran,Female,,23,Reccil,,
Aarakocran,Female,,24,Rhur,,
Aarakocran,Female,,25,Kruccal,,
Aarakocran,Female,,26,Zeress,,
Aarakocran,Female,,27,Ke,,
Aarakocran,Female,,28,Rucceas,,
Aarakocran,Female,,29,Durrear,,
Aarakocran,Female,,30,Iqeel,,
Aarakocran,Female,,31,Cli,,
Aarakocran,Female,,32,Crakeeck,,
Aarakocran,Female,,33,Crucess,,
Aarakocran,Female,,34,Crukeerc,,
Aarakocran,Female,,35,Ke,,
Aarakocran,Female,,36,Dug,,
Aarakocran,Female,,37,Grelia,,
Aarakocran,Female,,38,Crae,,
Aarakocran,Female,,39,Grilliak,,
Aarakocran,Female,,40,Cooccil,,
Aarakocran,Female,,41,Suarra,,
Aarakocran,Female,,42,Kuac,,
Aarakocran,Female,,43,Krik,,
Aarakocran,Female,,44,Grurr,,
Aarakocran,Female,,45,Qherrk,,
Aarakocran,Female,,46,Eeck,,
Aarakocran,Female,,47,Qlael,,
Aarakocran,Female,,48,Ik,,
Aarakocran,Female,,49,Rhili,,
Aarakocran,Female,,50,Ceqaf,,
Aarakocran,Male,,1,Ruci,,
Aarakocran,Male,,2,Kiqee,,
Aarakocran,Male,,3,Kouccac,,
Aarakocran,Male,,4,Krikeerr,,
Aarakocran,Male,,5,Rhek,,
Aarakocran,Male,,6,Zikass,,
Aarakocran,Male,,7,Iss,,
Aarakocran,Male,,8,Yilleck,,
Aarakocran,Male,,9,Krerc,,
Aarakocran,Male,,10,Akee,,
Aarakocran,Male,,11,Rhed,,
Aarakocran,Male,,12,Se,,
Aarakocran,Male,,13,Grillierk,,
Aarakocran,Male,,14,Irrass,,
Aarakocran,Male,,15,Irc,,
Aarakocran,Male,,16,Ziqi,,
Aarakocran,Male,,17,Cliraf,,
Aarakocran,Male,,18,Klooleg,,
Aarakocran,Male,,19,Klaiark,,
Aarakocran,Male,,20,Qrehk,,
Aarakocran,Male,,21,Grireck,,
Aarakocran,Male,,22,Ess,,
Aarakocran,Male,,23,Qluriack,,
Aarakocran,Male,,24,Eeqid,,
Aarakocran,Male,,25,Cick,,
Aarakocran,Male,,26,Da,,
Aarakocran,Male,,27,Garr,,
Aarakocran,Male,,28,Alle,,
Aarakocran,Male,,29,Us,,
Aarakocran,Male,,30,Cooqe,,
Aarakocran,Male,,31,Koo,,
Aarakocran,Male,,32,Cik,,
Aarakocran,Male,,33,Klu,,
Aarakocran,Male,,34,Qiqi,,
Aarakocran,Male,,35,Khe,,
Aarakocran,Male,,36,Crillarrk,,
Aarakocran,Male,,37,Ag,,
Aarakocran,Male,,38,Rhuierree,,
Aarakocran,Male,,39,Oolis,,
Aarakocran,Male,,40,Kru,,
Aarakocran,Male,,41,Sacci,,
Aarakocran,Male,,42,Sic,,
Aarakocran,Male,,43,Cuiellack,,
Aarakocran,Male,,44,Qhelef,,
Aarakocran,Male,,45,Hik,,
Aarakocran,Male,,46,Kraf,,
Aarakocran,Male,,47,Qheqirrk,,
Aarakocran,Male,,48,Qliccerrk,,
Aarakocran,Male,,49,Kras,,
Aarakocran,Male,,50,Khooccag,,
Aasimar,Female,,1,Dirdom,,
Aasimar,Female,,2,Rhini,,
Aasimar,Female,,3,Zasri,,
Aasimar,Female,,4,Dreldrora,,
Aasimar,Female,,5,Droslela,,
Aasimar,Female,,6,Phalde,,
Aasimar,Female,,7,Honvosa,,
Aasimar,Female,,8,Viri,,
Aasimar,Female,,9,Phinli,,
Aasimar,Female,,10,Thiordozi,,
Aasimar,Female,,11,Eonlo,,
Aasimar,Female,,12,Wordari,,
Aasimar,Female,,13,Zisrile,,
Aasimar,Female,,14,Bromnie,,
Aasimar,Female,,15,Holo,,
Aasimar,Female,,16,Reardolir,,
Aasimar,Female,,17,Ana,,
Aasimar,Female,,18,Leldema,,
Aasimar,Female,,19,Brili,,
Aasimar,Female,,20,Pheosron,,
Aasimar,Female,,21,Vislise,,
Aasimar,Female,,22,Neasroza,,
Aasimar,Female,,23,Lanvi,,
Aasimar,Female,,24,Rhenvasi,,
Aasimar,Female,,25,Wollese,,
Aasimar,Female,,26,Osie,,
Aasimar,Female,,27,Briosra,,
Aasimar,Female,,28,Rhinriene,,
Aasimar,Female,,29,Hardiare,,
Aasimar,Female,,30,Orse,,
Aasimar,Female,,31,Larezim,,
Aasimar,Female,,32,Honlanou,,
Aasimar,Female,,33,Irilem,,
Aasimar,Female,,34,Endreni,,
Aasimar,Female,,35,Dranlo,,
Aasimar,Female,,36,Virkeza,,
Aasimar,Female,,37,Breamne,,
Aasimar,Female,,38,Brodeh,,
Aasimar,Female,,39,Orsil,,
Aasimar,Female,,40,Rhosrasa,,
Aasimar,Female,,41,Immazah,,
Aasimar,Female,,42,Ealtien,,
Aasimar,Female,,43,Pholdisem,,
Aasimar,Female,,44,Lirkisoen,,
Aasimar,Female,,45,Dirose,,
Aasimar,Female,,46,Vommimouh,,
Aasimar,Female,,47,Anlam,,
Aasimar,Female,,48,Wedor,,
Aasimar,Female,,49,Vanve,,
Aasimar,Female,,50,Rardo,,
Aasimar,Male,,1,Naldil,,
Aasimar,Male,,2,Einam,,
Aasimar,Male,,3,Pailem,,
Aasimar,Male,,4,Cregitem,,
Aasimar,Male,,5,Rylwidan,,
Aasimar,Male,,6,Odent,,
Aasimar,Male,,7,Vynriem,,
Aasimar,Male,,8,Rakleint,,
Aasimar,Male,,9,Porlanir,,
Aasimar,Male,,10,Bygram,,
Aasimar,Male,,11,Teltim,,
Aasimar,Male,,12,Celgamal,,
Aasimar,Male,,13,Monilen,,
Aasimar,Male,,14,Zyldimint,,
Aasimar,Male,,15,Pyklil,,
Aasimar,Male,,16,Vornir,,
Aasimar,Male,,17,Zeadimar,,
Aasimar,Male,,18,Ulgim,,
Aasimar,Male,,19,Reggul,,
Aasimar,Male,,20,Cakrunt,,
Aasimar,Male,,21,Hylgiavul,,
Aasimar,Male,,22,Tynleen,,
Aasimar,Male,,23,Cruggatan,,
Aasimar,Male,,24,Helratal,,
Aasimar,Male,,25,Rigont,,
Aasimar,Male,,26,Cokonum,,
Aasimar,Male,,27,Voner,,
Aasimar,Male,,28,Beadonal,,
Aasimar,Male,,29,Ynrim,,
Aasimar,Male,,30,Cregraimel,,
Aasimar,Male,,31,Culwer,,
Aasimar,Male,,32,Enwiamil,,
Aasimar,Male,,33,Bovrain,,
Aasimar,Male,,34,Welgal,,
Aasimar,Male,,35,Arlam,,
Aasimar,Male,,36,Zeirwaim,,
Aasimar,Male,,37,Okivaim,,
Aasimar,Male,,38,Crigil,,
Aasimar,Male,,39,Colgiant,,
Aasimar,Male,,40,Ylgir,,
Aasimar,Male,,41,Togrovir,,
Aasimar,Male,,42,Cuvrir,,
Aasimar,Male,,43,Arwor,,
Aasimar,Male,,44,Ninril,,
Aasimar,Male,,45,Covil,,
Aasimar,Male,,46,Mokal,,
Aasimar,Male,,47,Cealwiar,,
Aasimar,Male,,48,Creiltum,,
Aasimar,Male,,49,Crorwent,,
Aasimar,Male,,50,Beinwim,,
Bugbear,Female,,1,Rarfukayon,,
Bugbear,Female,,2,Vamugbu,,
Bugbear,Female,,3,Xorokzorfu,,
Bugbear,Female,,4,Ksänldrim,,
Bugbear,Female,,5,Kabu,,
Bugbear,Female,,6,Pigjeljäne,,
Bugbear,Female,,7,Xugburbarfu,,
Bugbear,Female,,8,Fivenkgagu,,
Bugbear,Female,,9,Walthred,,
Bugbear,Female,,10,Birizevete,,
Bugbear,Female,,11,Noua,,
Bugbear,Female,,12,Ekgurghed,,
Bugbear,Female,,13,Ksarim,,
Bugbear,Female,,14,Ksto,,
Bugbear,Female,,15,Gyra,,
Bugbear,Female,,16,Waldregu,,
Bugbear,Female,,17,Zechtyra,,
Bugbear,Female,,18,Urynat,,
Bugbear,Female,,19,Quatrtargu,,
Bugbear,Female,,20,Chtyraalthu,,
Bugbear,Female,,21,Bangrathu,,
Bugbear,Female,,22,Veitsulgbu,,
Bugbear,Female,,23,Ksugbuxkath,,
Bugbear,Female,,24,Huitriuitri,,
Bugbear,Female,,25,Zugbutha,,
Bugbear,Female,,26,Ulfemwee,,
Bugbear,Female,,27,Demme,,
Bugbear,Female,,28,Zaltirês,,
Bugbear,Female,,29,Iyistaviguk,,
Bugbear,Female,,30,Zweemteks,,
Bugbear,Female,,31,Lagh,,
Bugbear,Female,,32,Gyriene,,
Bugbear,Female,,33,Lakguha,,
Bugbear,Female,,34,Rugbuqua,,
Bugbear,Female,,35,Apte,,
Bugbear,Female,,36,Nithaldru,,
Bugbear,Female,,37,Verguka,,
Bugbear,Female,,38,Zehrbu,,
Bugbear,Female,,39,Rezezewie,,
Bugbear,Female,,40,Hagurgig,,
Bugbear,Female,,41,Aksijfoua,,
Bugbear,Female,,42,Prettoi,,
Bugbear,Female,,43,Reiahgorim,,
Bugbear,Female,,44,Dergu,,
Bugbear,Female,,45,Caltaronket,,
Bugbear,Female,,46,Wogghrakgu,,
Bugbear,Female,,47,Anascabu,,
Bugbear,Female,,48,Jedwahgakgu,,
Bugbear,Female,,49,Marfufyra,,
Bugbear,Female,,50,Umth,,
Bugbear,Male,,1,Karguk,,
Bugbear,Male,,2,Rove,,
Bugbear,Male,,3,Tilgdolm,,
Bugbear,Male,,4,Seicinkar,,
Bugbear,Male,,5,Vezecct,,
Bugbear,Male,,6,Hokuusnopt,,
Bugbear,Male,,7,Zungenag,,
Bugbear,Male,,8,Pomgulg,,
Bugbear,Male,,9,Builge,,
Bugbear,Male,,10,Vaes,,
Bugbear,Male,,11,Eagruk,,
Bugbear,Male,,12,Zougig,,
Bugbear,Male,,13,Ierezguk,,
Bugbear,Male,,14,Vret,,
Bugbear,Male,,15,Yukgnath,,
Bugbear,Male,,16,Wokganit,,
Bugbear,Male,,17,Knorgh,,
Bugbear,Male,,18,Slaughig,,
Bugbear,Male,,19,Klugh,,
Bugbear,Male,,20,Tilgehn,,
Bugbear,Male,,21,Pretyiring,,
Bugbear,Male,,22,Wurghkag,,
Bugbear,Male,,23,Yirspoguk,,
Bugbear,Male,,24,Puiltan,,
Bugbear,Male,,25,Jugarokuk,,
Bugbear,Male,,26,Unodagh,,
Bugbear,Male,,27,Ungadm,,
Bugbear,Male,,28,Isammettö,,
Bugbear,Male,,29,Braugh,,
Bugbear,Male,,30,Jedigdolg,,
Bugbear,Male,,31,Ynahgigigit,,
Bugbear,Male,,32,Xurek,,
Bugbear,Male,,33,Hesuragh,,
Bugbear,Male,,34,Xouzho,,
Bugbear,Male,,35,Jedwahes,,
Bugbear,Male,,36,Xuag,,
Bugbear,Male,,37,Kolmar,,
Bugbear,Male,,38,Toisagungad,,
Bugbear,Male,,39,Slodag,,
Bugbear,Male,,40,Osanitne,,
Bugbear,Male,,41,Kymmnodagh,,
Bugbear,Male,,42,Wogharod,,
Bugbear,Male,,43,Cuanfyran,,
Bugbear,Male,,44,Zorgarek,,
Bugbear,Male,,45,Wyth,,
Bugbear,Male,,46,Kahigig,,
Bugbear,Male,,47,Deufmurgh,,
Bugbear,Male,,48,Kolm,,
Bugbear,Male,,49,Kyuuns,,
Bugbear,Male,,50,Faughoknath,,
Centaur,Female,,1,Bylzozet,1,Brownrunner
Centaur,Female,,2,Dinryreth,2,Pinerise
Centaur,Female,,3,Sarziven,3,Rivergroom
Centaur,Female,,4,Nezlen,4,Hailstrength
Centaur,Female,,5,Phyrel,5,Autumnmind
Centaur,Female,,6,Shaldish,6,Brightdancer
Centaur,Female,,7,Bilvaziar,7,Groveroar
Centaur,Female,,8,Sydhan,8,Haillimp
Centaur,Female,,9,Birzyrat,9,Fogdarter
Centaur,Female,,10,Daflath,10,Willowdarter
Centaur,Female,,11,Vygat,11,Autumnblade
Centaur,Female,,12,Dazlesh,12,Fallherald
Centaur,Female,,13,Zilthyreh,13,Mapledefender
Centaur,Female,,14,Dydhith,14,Burrowreveler
Centaur,Female,,15,Milgeres,15,Vinemarch
Centaur,Female,,16,Dorlel,16,Forestherald
Centaur,Female,,17,Berziret,17,Brightlove
Centaur,Female,,18,Moglalen,18,Laurelbraid
Centaur,Female,,19,Merat,19,Floodeyes
Centaur,Female,,20,Dazlesh,20,Brownwander
Centaur,Female,,21,Phezhath,21,Elmbooster
Centaur,Female,,22,Menreveg,22,Mossmind
Centaur,Female,,23,Nefnyloth,23,Mossdivider
Centaur,Female,,24,Lirelet,24,Fogheart
Centaur,Female,,25,Fegrash,25,Valleyprowl
Centaur,Female,,26,Delvyzash,26,Stonetwister
Centaur,Female,,27,Delnet,27,Bloomhold
Centaur,Female,,28,Vidilen,28,Moonconqueror
Centaur,Female,,29,Malgeg,29,Plaincaller
Centaur,Female,,30,Seglos,30,Aspendarter
Centaur,Female,,31,Phifraval,31,Thornformer
Centaur,Female,,32,Ferlash,32,Forestdancer
Centaur,Female,,33,Razhih,33,Fallpetals
Centaur,Female,,34,Marshyveh,34,Timberblesser
Centaur,Female,,35,Hygeler,35,Brighttrampler
Centaur,Female,,36,Mershias,36,Brightlove
Centaur,Female,,37,Hyfran,37,Moonborne
Centaur,Female,,38,Dildis,38,Earthendarter
Centaur,Female,,39,Myrshag,39,Boulderbraider
Centaur,Female,,40,Zanizel,40,Ironconqueror
Centaur,Female,,41,Silgih,41,Icegroom
Centaur,Female,,42,Fyzyreg,42,Snowbruiser
Centaur,Female,,43,Lazyrel,43,Aspenpass
Centaur,Female,,44,Zirsog,44,Creekbraider
Centaur,Female,,45,Virlah,45,Grassbooster
Centaur,Female,,46,Zilthyreh,46,Floodride
Centaur,Female,,47,Phidhes,47,Mossshifter
Centaur,Female,,48,Byflylin,48,Laurelscreamer
Centaur,Female,,49,Ryglig,49,Vineshadow
Centaur,Female,,50,Lilren,50,Winterpush
Centaur,Male,,1,Mah,1,Grassbearer
Centaur,Male,,2,Rhaih,2,Mountainchanter
Centaur,Male,,3,Dwozren,3,Fogblossom
Centaur,Male,,4,Berlimelk,4,Ridgerusher
Centaur,Male,,5,Thendithir,5,Driftprowler
Centaur,Male,,6,Dword,6,Ironlaugh
Centaur,Male,,7,Rhagrus,7,Irondefender
Centaur,Male,,8,Denni,8,Laurelbreaker
Centaur,Male,,9,Es'lit,9,Moontwister
Centaur,Male,,10,Ghin'zird,10,Forestfighter
Centaur,Male,,11,Rholdelk,11,Bloomfader
Centaur,Male,,12,Dwold,12,Rockwish
Centaur,Male,,13,Nan'ruld,13,Moonbasker
Centaur,Male,,14,Adrerd,14,Plainsign
Centaur,Male,,15,Jaikli,15,Riverleaves
Centaur,Male,,16,Ghag,16,Stormcaller
Centaur,Male,,17,Tal'ni,17,Summerwander
Centaur,Male,,18,Rhilzrard,18,Vineheart
Centaur,Male,,19,Ogu,19,Birchroar
Centaur,Male,,20,Khogler,20,Creekrunner
Centaur,Male,,21,Bomrulk,21,Brightchanter
Centaur,Male,,22,Gwinnulot,22,Rainbraid
Centaur,Male,,23,Vem'veh,23,Rainpass
Centaur,Male,,24,Os'led,24,Pinerest
Centaur,Male,,25,Ghillen,25,Cedardefender
Centaur,Male,,26,Galvivir,26,Stonebinder
Centaur,Male,,27,Medrelk,27,Woodvolley
Centaur,Male,,28,Jamred,28,Mountainblade
Centaur,Male,,29,Beld,29,Grasswhisperer
Centaur,Male,,30,Gwen'reth,30,Brookguard
Centaur,Male,,31,Ile,31,Boulderleaper
Centaur,Male,,32,Jerd,32,Thornbringer
Centaur,Male,,33,Jes'rid,33,Brownstrength
Centaur,Male,,34,Ghis,34,Summersmile
Centaur,Male,,35,Kel'dih,35,Dustcaller
Centaur,Male,,36,Bon'zivig,36,Woodheart
Centaur,Male,,37,Mezu,37,Woodfighter
Centaur,Male,,38,Vrilzrend,38,Brookcharger
Centaur,Male,,39,Onnurd,39,Laurelcatcher
Centaur,Male,,40,Rhimis,40,Riverroar
Centaur,Male,,41,Gozreld,41,Willowrush
Centaur,Male,,42,Nollurath,42,Oakenwhisper
Centaur,Male,,43,Ghokruth,43,Sunwanderer
Centaur,Male,,44,Vrorlel,44,Birchgatherer
Centaur,Male,,45,Ken'vilk,45,Timberdancer
Centaur,Male,,46,Gaethurd,46,Boulderprowler
Centaur,Male,,47,Val'nuvin,47,Snowbreaker
Centaur,Male,,48,Zan'ven,48,Riverpelt
Centaur,Male,,49,Dezlinard,49,Snowcarver
Centaur,Male,,50,Bed,50,Yewlaugh
Changeling,Female,,1,Ric,,
Changeling,Female,,2,Tuk,,
Changeling,Female,,3,Hisk,,
Changeling,Female,,4,Yuz,,
Changeling,Female,,5,Lies,,
Changeling,Female,,6,Main,,
Changeling,Female,,7,Nars,,
Changeling,Female,,8,Oz,,
Changeling,Female,,9,Hux,,
Changeling,Female,,10,Hirx,,
Changeling,Female,,11,Mien,,
Changeling,Female,,12,Ean,,
Changeling,Female,,13,Ats,,
Changeling,Female,,14,Laikt,,
Changeling,Female,,15,Hog,,
Changeling,Female,,16,Sugs,,
Changeling,Female,,17,Ougs,,
Changeling,Female,,18,Bit,,
Changeling,Female,,19,Wig,,
Changeling,Female,,20,Aim,,
Changeling,Female,,21,Ots,,
Changeling,Female,,22,Lars,,
Changeling,Female,,23,Jeen,,
Changeling,Female,,24,Yom,,
Changeling,Female,,25,Uk,,
Changeling,Female,,26,Mon,,
Changeling,Female,,27,Sirs,,
Changeling,Female,,28,Niers,,
Changeling,Female,,29,Ags,,
Changeling,Female,,30,Hurx,,
Changeling,Female,,31,Bukt,,
Changeling,Female,,32,Weeg,,
Changeling,Female,,33,Mearx,,
Changeling,Female,,34,Ut,,
Changeling,Female,,35,Jeesk,,
Changeling,Female,,36,Reet,,
Changeling,Female,,37,Haets,,
Changeling,Female,,38,Takt,,
Changeling,Female,,39,Wars,,
Changeling,Female,,40,Yekedi,,
Changeling,Female,,41,Huks,,
Changeling,Female,,42,Hax,,
Changeling,Female,,43,Hats,,
Changeling,Female,,44,Wig,,
Changeling,Female,,45,Sun,,
Changeling,Female,,46,Jaig,,
Changeling,Female,,47,Jun,,
Changeling,Female,,48,Wots,,
Changeling,Female,,49,Souts,,
Changeling,Female,,50,Sat,,
Changeling,Male,,1,Weeg,,
Changeling,Male,,2,Niers,,
Changeling,Male,,3,Ats,,
Changeling,Male,,4,Jaig,,
Changeling,Male,,5,Sat,,
Changeling,Male,,6,Sun,,
Changeling,Male,,7,Ban,,
Changeling,Male,,8,Hog,,
Changeling,Male,,9,Ots,,
Changeling,Male,,10,Wig,,
Changeling,Male,,11,Haets,,
Changeling,Male,,12,Peem,,
Changeling,Male,,13,Hirx,,
Changeling,Male,,14,Tuk,,
Changeling,Male,,15,Sag,,
Changeling,Male,,16,Eats,,
Changeling,Male,,17,Een,,
Changeling,Male,,18,Mien,,
Changeling,Male,,19,Mon,,
Changeling,Male,,20,Yousk,,
Changeling,Male,,21,Eats,,
Changeling,Male,,22,Veam,,
Changeling,Male,,23,Murx,,
Changeling,Male,,24,Souts,,
Changeling,Male,,25,Sot,,
Changeling,Male,,26,Daeg,,
Changeling,Male,,27,Wots,,
Changeling,Male,,28,Vugs,,
Changeling,Male,,29,Ut,,
Changeling,Male,,30,Ask,,
Changeling,Male,,31,Takt,,
Changeling,Male,,32,Wig,,
Changeling,Male,,33,Beet,,
Changeling,Male,,34,Ean,,
Changeling,Male,,35,Lit,,
Changeling,Male,,36,Takt,,
Changeling,Male,,37,Wors,,
Changeling,Male,,38,Ots,,
Changeling,Male,,39,Uk,,
Changeling,Male,,40,Jeesk,,
Changeling,Male,,41,Sok,,
Changeling,Male,,42,Jeen,,
Changeling,Male,,43,Rogs,,
Changeling,Male,,44,Hax,,
Changeling,Male,,45,Lic,,
Changeling,Male,,46,Hors,,
Changeling,Male,,47,Siex,,
Changeling,Male,,48,Wag,,
Changeling,Male,,49,Teags,,
Changeling,Male,,50,Wook,,
Dark Elf,Female,,1,Ipuphro,1,Usogeith
Dark Elf,Female,,2,Lilth,2,Galeaal
Dark Elf,Female,,3,Bedyrisu,3,Ulven
Dark Elf,Female,,4,Cirno,4,Evosen
Dark Elf,Female,,5,Suveryne,5,Shabeendra
Dark Elf,Female,,6,Tralea,6,Farovaren
Dark Elf,Female,,7,Llayhasi,7,Kharoldaid
Dark Elf,Female,,8,Savemeni,8,Wezurvir
Dark Elf,Female,,9,Lolilo,9,Bartheeba
Dark Elf,Female,,10,Salvarth,10,Adasyron
Dark Elf,Female,,11,Ernsvese,11,Gegrih
Dark Elf,Female,,12,Pebnini,12,Drizolrid
Dark Elf,Female,,13,Qhusimvu,13,Ulvehandas
Dark Elf,Female,,14,Dhunaidh,14,Cimograe
Dark Elf,Female,,15,Fubasci,15,Favailnith
Dark Elf,Female,,16,Zuvryn,16,Uvalim
Dark Elf,Female,,17,Mirri,17,Farr
Dark Elf,Female,,18,Vrali,18,Ramoelvis
Dark Elf,Female,,19,Nulwrila,19,Eisrel
Dark Elf,Female,,20,Evilso,20,Sarier
Dark Elf,Female,,21,Dinaeryne,21,Relarys
Dark Elf,Female,,22,Bradela,22,Khorsec
