name,color,limitedScore,cmc,rarity,manaCost,typeLine,oracleText,archetype,isSignpost,isBomb,isRemoval
Kinsbaile Aspirant,W,,1.0,uncommon,{W},Creature — Kithkin Citizen,"As an additional cost to cast this spell, behold a Kithkin or pay {2}. (To behold a Kithkin, choose a Kithkin you control or reveal a Kithkin card from your hand.)
Whenever another creature you control enters, this creature gets +1/+1 until end of turn.",,false,false,false
Kinscaer Sentry,W,,2.0,rare,{1}{W},Creature — Kithkin Soldier,"First strike, lifelink
Whenever this creature attacks, you may put a creature card with mana value X or less from your hand onto the battlefield tapped and attacking, where X is the number of attacking creatures you control.",,false,false,false
Kithkeeper,W,,7.0,uncommon,{6}{W},Creature — Elemental,"Vivid — When this creature enters, create X 1/1 green and white Kithkin creature tokens, where X is the number of colors among permanents you control.
Tap three untapped creatures you control: This creature gets +3/+0 and gains flying until end of turn.",,false,false,false
Liminal Hold,W,,4.0,common,{3}{W},Enchantment,"When this enchantment enters, exile up to one target nonland permanent an opponent controls until this enchantment leaves the battlefield. You gain 2 life.",,false,false,false
Meanders Guide,W,,3.0,uncommon,{2}{W},Creature — Merfolk Scout,"Whenever this creature attacks, you may tap another untapped Merfolk you control. When you do, return target creature card with mana value 3 or less from your graveyard to the battlefield.",,false,false,false
Moonlit Lamenter,W,,3.0,uncommon,{2}{W},Creature — Treefolk Cleric,"This creature enters with a -1/-1 counter on it.
{1}{W}, Remove a counter from this creature: Draw a card. Activate only as a sorcery.",,false,false,false
Morningtide's Light,W,,4.0,mythic,{3}{W},Sorcery,"Exile any number of target creatures. At the beginning of the next end step, return those cards to the battlefield tapped under their owners' control.
Until your next turn, prevent all damage that would be dealt to you.
Exile Morningtide's Light.",,false,false,false
Personify,W,,2.0,uncommon,{1}{W},Instant,"Exile target creature you control, then return that card to the battlefield under its owner's control. Create a 1/1 colorless Shapeshifter creature token with changeling. (It's every creature type.)",,false,false,false
Protective Response,W,,3.0,uncommon,{2}{W},Instant,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Destroy target attacking or blocking creature.",,false,false,false
Pyrrhic Strike,W,,3.0,uncommon,{2}{W},Instant,"As an additional cost to cast this spell, you may blight 2. (You may put two -1/-1 counters on a creature you control.)
Choose one. If this spell's additional cost was paid, choose both instead.
• Destroy target artifact or enchantment.
• Destroy target creature with mana value 3 or greater.",,false,false,false
Reluctant Dounguard,W,,3.0,common,{2}{W},Creature — Kithkin Soldier,"This creature enters with two -1/-1 counters on it.
Whenever another creature you control enters while this creature has a -1/-1 counter on it, remove a -1/-1 counter from this creature.",,false,false,false
"Rhys, the Evermore",W,,2.0,rare,{1}{W},Legendary Creature — Elf Warrior,"Flash
When Rhys enters, another target creature you control gains persist until end of turn. (When it dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)
{W}, {T}: Remove any number of counters from target creature you control. Activate only as a sorcery.",,false,false,false
Riverguard's Reflexes,W,,2.0,common,{1}{W},Instant,Target creature gets +2/+2 and gains first strike until end of turn. Untap it.,,false,false,false
Shore Lurker,W,,4.0,common,{3}{W},Creature — Merfolk Scout,"Flying
When this creature enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",,false,false,false
Slumbering Walker,W,,5.0,rare,{3}{W}{W},Creature — Giant Warrior,"This creature enters with two -1/-1 counters on it.
At the beginning of your end step, you may remove a counter from this creature. When you do, return target creature card with power 2 or less from your graveyard to the battlefield.",,false,false,false
Spiral into Solitude,W,,2.0,common,{1}{W},Enchantment — Aura,"Enchant creature
Enchanted creature can't attack or block.
{1}{W}, Blight 1, Sacrifice this Aura: Exile enchanted creature. (To blight 1, put a -1/-1 counter on a creature you control.)",,false,false,false
Sun-Dappled Celebrant,W,,6.0,common,{4}{W}{W},Creature — Treefolk Cleric,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Vigilance",,false,false,false
Thoughtweft Imbuer,W,,4.0,uncommon,{3}{W},Creature — Kithkin Advisor,"Whenever a creature you control attacks alone, it gets +X/+X until end of turn, where X is the number of Kithkin you control.",,false,false,false
Timid Shieldbearer,W,,2.0,common,{1}{W},Creature — Kithkin Soldier,{4}{W}: Creatures you control get +1/+1 until end of turn.,,false,false,false
Tributary Vaulter,W,,3.0,common,{2}{W},Creature — Merfolk Warrior,"Flying
Whenever this creature becomes tapped, another target Merfolk you control gets +2/+0 until end of turn.",,false,false,false
Wanderbrine Preacher,W,,2.0,common,{1}{W},Creature — Merfolk Cleric,"Whenever this creature becomes tapped, you gain 2 life.",,false,false,false
Wanderbrine Trapper,W,,1.0,uncommon,{W},Creature — Merfolk Scout,"{1}, {T}, Tap another untapped creature you control: Tap target creature an opponent controls.",,false,false,false
Winnowing,W,,6.0,rare,{4}{W}{W},Sorcery,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
For each player, you choose a creature that player controls. Then each player sacrifices all other creatures they control that don't share a creature type with the chosen creature they control.",,false,false,false
Aquitect's Defenses,U,,2.0,common,{1}{U},Enchantment — Aura,"Flash
Enchant creature you control
When this Aura enters, enchanted creature gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.)
Enchanted creature gets +1/+2.",,false,false,false
Blossombind,U,,2.0,common,{1}{U},Enchantment — Aura,"Enchant creature
When this Aura enters, tap enchanted creature.
Enchanted creature can't become untapped and can't have counters put on it.",,false,false,false
Champions of the Shoal,U,,4.0,rare,{3}{U},Creature — Merfolk Soldier,"As an additional cost to cast this spell, behold a Merfolk and exile it. (Exile a Merfolk you control or a Merfolk card from your hand.)
Whenever this creature enters or becomes tapped, tap up to one target creature and put a stun counter on it.
When this creature leaves the battlefield, return the exiled card to its owner's hand.",,false,false,false
Disruptor of Currents,U,,5.0,rare,{3}{U}{U},Creature — Merfolk Wizard,"Flash
Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
When this creature enters, return up to one other target nonland permanent to its owner's hand.",,false,false,false
Flitterwing Nuisance,U,,1.0,rare,{U},Creature — Faerie Rogue,"Flying
This creature enters with a -1/-1 counter on it.
{2}{U}, Remove a counter from this creature: Whenever a creature you control deals combat damage to a player or planeswalker this turn, draw a card.",,false,false,false
Glamer Gifter,U,,2.0,uncommon,{1}{U},Creature — Faerie Wizard,"Flash
Flying
When this creature enters, choose up to one other target creature. Until end of turn, that creature has base power and toughness 4/4 and gains all creature types.",,false,false,false
Glamermite,U,,3.0,common,{2}{U},Creature — Faerie Rogue,"Flash
Flying
When this creature enters, choose one —
• Tap target creature.
• Untap target creature.",,false,false,false
Glen Elendra Guardian,U,,3.0,rare,{2}{U},Creature — Faerie Wizard,"Flash
Flying
This creature enters with a -1/-1 counter on it.
{1}{U}, Remove a counter from this creature: Counter target noncreature spell. Its controller draws a card.",,false,false,false
Glen Elendra's Answer,U,,4.0,mythic,{2}{U}{U},Instant,"This spell can't be countered.
Counter all spells your opponents control and all abilities your opponents control. Create a 1/1 blue and black Faerie creature token with flying for each spell and ability countered this way.",,false,false,false
Gravelgill Scoundrel,U,,2.0,common,{1}{U},Creature — Merfolk Rogue,"Vigilance
Whenever this creature attacks, you may tap another untapped creature you control. If you do, this creature can't be blocked this turn.",,false,false,false
Harmonized Crescendo,U,,6.0,rare,{4}{U}{U},Instant,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Choose a creature type. Draw a card for each permanent you control of that type.",,false,false,false
Illusion Spinners,U,,5.0,uncommon,{4}{U},Creature — Faerie Wizard,"You may cast this spell as though it had flash if you control a Faerie.
Flying
This creature has hexproof as long as it's untapped. (It can't be the target of spells or abilities your opponents control.)",,false,false,false
Kulrath Mystic,U,,3.0,common,{2}{U},Creature — Elemental Wizard,"Whenever you cast a spell with mana value 4 or greater, this creature gets +2/+0 and gains vigilance until end of turn.",,false,false,false
Loch Mare,U,,2.0,mythic,{1}{U},Creature — Horse Serpent,"This creature enters with three -1/-1 counters on it.
{1}{U}, Remove a counter from this creature: Draw a card.
{2}{U}, Remove two counters from this creature: Tap target creature. Put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)",,false,false,false
Lofty Dreams,U,,5.0,uncommon,{3}{U}{U},Enchantment — Aura,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Enchant creature
When this Aura enters, draw a card.
Enchanted creature gets +2/+2 and has flying.",,false,false,false
Mirrorform,U,,6.0,mythic,{4}{U}{U},Instant,Each nonland permanent you control becomes a copy of target non-Aura permanent.,,false,false,false
Noggle the Mind,U,,2.0,uncommon,{1}{U},Enchantment — Aura,"Flash
Enchant creature
Enchanted creature loses all abilities and is a colorless Noggle with base power and toughness 1/1. (It loses all colors and all other creature types.)",,false,false,false
"Oko, Lorwyn Liege // Oko, Shadowmoor Scion",GU,,3.0,mythic,,Legendary Planeswalker — Oko // Legendary Planeswalker — Oko,,,false,false,false
Omni-Changeling,U,,5.0,uncommon,{3}{U}{U},Creature — Shapeshifter,"Changeling (This card is every creature type.)
Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
You may have this creature enter as a copy of any creature on the battlefield, except it has changeling.",,false,false,false
Pestered Wellguard,U,,4.0,uncommon,{3}{U},Creature — Merfolk Soldier,"Whenever this creature becomes tapped, create a 1/1 blue and black Faerie creature token with flying.",,false,false,false
Rime Chill,U,,7.0,uncommon,{6}{U},Instant,"Vivid — This spell costs {1} less to cast for each color among permanents you control.
Tap up to two target creatures. Put a stun counter on each of them. (If a permanent with a stun counter would become untapped, remove one from it instead.)
Draw a card.",,false,false,false
Rimefire Torque,U,,2.0,rare,{1}{U},Artifact,"As this artifact enters, choose a creature type.
Whenever a permanent you control of the chosen type enters, put a charge counter on this artifact.
{T}, Remove three charge counters from this artifact: When you next cast an instant or sorcery spell this turn, copy it. You may choose new targets for the copy.",,false,false,false
Rimekin Recluse,U,,3.0,uncommon,{2}{U},Creature — Elemental Wizard,"When this creature enters, return up to one other target creature to its owner's hand.",,false,false,false
Run Away Together,U,,2.0,common,{1}{U},Instant,Choose two target creatures controlled by different players. Return those creatures to their owners' hands.,,false,false,false
Shinestriker,U,,6.0,uncommon,{4}{U}{U},Creature — Elemental,"Flying
Vivid — When this creature enters, draw cards equal to the number of colors among permanents you control.",,false,false,false
Silvergill Mentor,U,,2.0,uncommon,{1}{U},Creature — Merfolk Wizard,"As an additional cost to cast this spell, behold a Merfolk or pay {2}.
When this creature enters, create a 1/1 white and blue Merfolk creature token.",,false,false,false
Silvergill Peddler,U,,3.0,common,{2}{U},Creature — Merfolk Citizen,"Whenever this creature becomes tapped, draw a card, then discard a card.",,false,false,false
Spell Snare,U,,1.0,uncommon,{U},Instant,Counter target spell with mana value 2.,,false,false,false
Stratosoarer,U,,5.0,common,{4}{U},Creature — Elemental,"Flying
When this creature enters, target creature gains flying until end of turn.
Basic landcycling {1}{U} ({1}{U}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.)",,false,false,false
Summit Sentinel,U,,2.0,common,{1}{U},Creature — Elemental Soldier,"When this creature dies, draw a card.",,false,false,false
Sunderflock,U,,9.0,rare,{7}{U}{U},Creature — Elemental,"This spell costs {X} less to cast, where X is the greatest mana value among Elementals you control.
Flying
When this creature enters, if you cast it, return all non-Elemental creatures to their owners' hands.",,false,false,false
Swat Away,U,,4.0,uncommon,{2}{U}{U},Instant,"This spell costs {2} less to cast if a creature is attacking you.
The owner of target spell or creature puts it on their choice of the top or bottom of their library.",,false,false,false
"Sygg, Wanderwine Wisdom // Sygg, Wanderbrine Shield",UW,,2.0,rare,,Legendary Creature — Merfolk Wizard // Legendary Creature — Merfolk Rogue,,,false,false,false
Tanufel Rimespeaker,U,,4.0,uncommon,{3}{U},Creature — Elemental Wizard,"Whenever you cast a spell with mana value 4 or greater, draw a card.",,false,false,false
Temporal Cleansing,U,,4.0,common,{3}{U},Sorcery,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
The owner of target nonland permanent puts it into their library second from the top or on the bottom.",,false,false,false
Thirst for Identity,U,,3.0,uncommon,{2}{U},Instant,Draw three cards. Then discard two cards unless you discard a creature card.,,false,false,false
Unexpected Assistance,U,,5.0,common,{3}{U}{U},Instant,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Draw three cards, then discard a card.",,false,false,false
Unwelcome Sprite,U,,2.0,uncommon,{1}{U},Creature — Faerie Rogue,"Flying
Whenever you cast a spell during an opponent's turn, surveil 2. (Look at the top two cards of your library. You may put any number of them into your graveyard and the rest on top of your library in any order.)",,false,false,false
Wanderwine Distracter,U,,4.0,common,{3}{U},Creature — Merfolk Wizard,"Whenever this creature becomes tapped, target creature an opponent controls gets -3/-0 until end of turn.",,false,false,false
Wanderwine Farewell,U,,7.0,uncommon,{5}{U}{U},Kindred Sorcery — Merfolk,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Return one or two target nonland permanents to their owners' hands. Then if you control a Merfolk, create a 1/1 white and blue Merfolk creature token for each permanent returned to its owner's hand this way.",,false,false,false
Wild Unraveling,U,,2.0,common,{U}{U},Instant,"As an additional cost to cast this spell, blight 2 or pay {1}. (To blight 2, put two -1/-1 counters on a creature you control.)
Counter target spell.",,false,false,false
Auntie's Sentence,B,,2.0,common,{1}{B},Sorcery,"Choose one —
• Target opponent reveals their hand. You choose a nonland permanent card from it. That player discards that card.
• Target creature gets -2/-2 until end of turn.",,false,false,false
Barbed Bloodletter,B,,2.0,common,{1}{B},Artifact — Equipment,"Flash
When this Equipment enters, attach it to target creature you control. That creature gains wither until end of turn. (It deals damage to creatures in the form of -1/-1 counters.)
Equipped creature gets +1/+2.
Equip {2}",,false,false,false
Bile-Vial Boggart,B,,1.0,common,{B},Creature — Goblin Assassin,"When this creature dies, put a -1/-1 counter on up to one target creature.",,false,false,false
Bitterbloom Bearer,B,,2.0,mythic,{B}{B},Creature — Faerie Rogue,"Flash
Flying
At the beginning of your upkeep, you lose 1 life and create a 1/1 blue and black Faerie creature token with flying.",,false,false,false
Blight Rot,B,,3.0,common,{2}{B},Instant,Put four -1/-1 counters on target creature.,,false,false,false
Blighted Blackthorn,B,,5.0,common,{4}{B},Creature — Treefolk Warlock,"Whenever this creature enters or attacks, you may blight 2. If you do, you draw a card and lose 1 life. (To blight 2, put two -1/-1 counters on a creature you control.)",,false,false,false
Bloodline Bidding,B,,8.0,rare,{6}{B}{B},Sorcery,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Choose a creature type. Return all creature cards of the chosen type from your graveyard to the battlefield.",,false,false,false
Boggart Mischief,B,,3.0,uncommon,{2}{B},Kindred Enchantment — Goblin,"When this enchantment enters, you may blight 1. If you do, create two 1/1 black and red Goblin creature tokens. (To blight 1, put a -1/-1 counter on a creature you control.)
Whenever a Goblin creature you control dies, each opponent loses 1 life and you gain 1 life.",,false,false,false
Boggart Prankster,B,,2.0,common,{1}{B},Creature — Goblin Warrior,"Whenever you attack, target attacking Goblin you control gets +1/+0 until end of turn.",,false,false,false
Bogslither's Embrace,B,,2.0,common,{1}{B},Sorcery,"As an additional cost to cast this spell, blight 1 or pay {3}. (To blight 1, put a -1/-1 counter on a creature you control.)
Exile target creature.",,false,false,false
Champion of the Weird,B,,4.0,rare,{3}{B},Creature — Goblin Berserker,"As an additional cost to cast this spell, behold a Goblin and exile it. (Exile a Goblin you control or a Goblin card from your hand.)
Pay 1 life, Blight 2: Target opponent blights 2. Activate only as a sorcery.
When this creature leaves the battlefield, return the exiled card to its owner's hand.",,false,false,false
Creakwood Safewright,B,,2.0,uncommon,{1}{B},Creature — Elf Warrior,"This creature enters with three -1/-1 counters on it.
At the beginning of your end step, if there is an Elf card in your graveyard and this creature has a -1/-1 counter on it, remove a -1/-1 counter from this creature.",,false,false,false
Darkness Descends,B,,4.0,uncommon,{2}{B}{B},Sorcery,Put two -1/-1 counters on each creature.,,false,false,false
Dawnhand Dissident,B,,1.0,rare,{B},Creature — Elf Warlock,"{T}, Blight 1: Surveil 1.
{T}, Blight 2: Exile target card from a graveyard.
During your turn, you may cast creature spells from among cards you own exiled with this creature by removing three counters from among creatures you control in addition to paying their other costs.",,false,false,false
Dawnhand Eulogist,B,,4.0,common,{3}{B},Creature — Elf Warlock,"Menace (This creature can't be blocked except by two or more creatures.)
When this creature enters, mill three cards. Then if there is an Elf card in your graveyard, each opponent loses 2 life and you gain 2 life. (To mill three cards, put the top three cards of your library into your graveyard.)",,false,false,false
Dose of Dawnglow,B,,5.0,uncommon,{4}{B},Instant,"Return target creature card from your graveyard to the battlefield. Then if it isn't your main phase, blight 2. (Put two -1/-1 counters on a creature you control.)",,false,false,false
Dream Seizer,B,,4.0,common,{3}{B},Creature — Faerie Rogue,"Flying
When this creature enters, you may blight 1. If you do, each opponent discards a card. (To blight 1, put a -1/-1 counter on a creature you control.)",,false,false,false
Gloom Ripper,B,,5.0,rare,{3}{B}{B},Creature — Elf Assassin,"When this creature enters, target creature you control gets +X/+0 until end of turn and up to one target creature an opponent controls gets -0/-X until end of turn, where X is the number of Elves you control plus the number of Elf cards in your graveyard.",,false,false,false
Gnarlbark Elm,B,,3.0,uncommon,{2}{B},Creature — Treefolk Warlock,"This creature enters with two -1/-1 counters on it.
{2}{B}, Remove two counters from this creature: Target creature gets -2/-2 until end of turn. Activate only as a sorcery.",,false,false,false
Graveshifter,B,,4.0,uncommon,{3}{B},Creature — Shapeshifter,"Changeling (This card is every creature type.)
When this creature enters, you may return target creature card from your graveyard to your hand.",,false,false,false
"Grub, Storied Matriarch // Grub, Notorious Auntie",BR,,3.0,rare,,Legendary Creature — Goblin Warlock // Legendary Creature — Goblin Warrior,,,false,false,false
Gutsplitter Gang,B,,4.0,uncommon,{3}{B},Creature — Goblin Berserker,"At the beginning of your first main phase, you may blight 2. If you don't, you lose 3 life. (To blight 2, put two -1/-1 counters on a creature you control.)",,false,false,false
Heirloom Auntie,B,,3.0,common,{2}{B},Creature — Goblin Warlock,"This creature enters with two -1/-1 counters on it.
Whenever another creature you control dies, surveil 1, then remove a -1/-1 counter from this creature. (To surveil 1, look at the top card of your library. You may put it into your graveyard.)",,false,false,false
Iron-Shield Elf,B,,2.0,uncommon,{1}{B},Creature — Elf Warrior,"Discard a card: This creature gains indestructible until end of turn. Tap it. (Damage and effects that say ""destroy"" don't destroy it. If its toughness is 0 or less, it still dies.)",,false,false,false
Moonglove Extractor,B,,3.0,common,{2}{B},Creature — Elf Warlock,"Whenever this creature attacks, you draw a card and lose 1 life.",,false,false,false
Moonshadow,B,,1.0,mythic,{B},Creature — Elemental,"Menace
This creature enters with six -1/-1 counters on it.
Whenever one or more permanent cards are put into your graveyard from anywhere while this creature has a -1/-1 counter on it, remove a -1/-1 counter from this creature.",,false,false,false
Mornsong Aria,B,,3.0,rare,{1}{B}{B},Legendary Enchantment,"Players can't draw cards or gain life.
At the beginning of each player's draw step, that player loses 3 life, searches their library for a card, puts it into their hand, then shuffles.",,false,false,false
Mudbutton Cursetosser,B,,1.0,uncommon,{B},Creature — Goblin Warlock,"As an additional cost to cast this spell, behold a Goblin or pay {2}. (To behold a Goblin, choose a Goblin you control or reveal a Goblin card from your hand.)
This creature can't block.
When this creature dies, destroy target creature an opponent controls with power 2 or less.",,false,false,false
Nameless Inversion,B,,2.0,uncommon,{1}{B},Kindred Instant — Shapeshifter,"Changeling (This card is every creature type.)
Target creature gets +3/-3 and loses all creature types until end of turn.",,false,false,false
Nightmare Sower,B,,4.0,uncommon,{3}{B},Creature — Faerie Assassin,"Flying, lifelink
Whenever you cast a spell during an opponent's turn, put a -1/-1 counter on up to one target creature.",,false,false,false
Perfect Intimidation,B,,4.0,uncommon,{3}{B},Sorcery,"Choose one or both —
• Target opponent exiles two cards from their hand.
• Remove all counters from target creature.",,false,false,false
Requiting Hex,B,,1.0,uncommon,{B},Instant,"As an additional cost to cast this spell, you may blight 1. (You may put a -1/-1 counter on a creature you control.)
Destroy target creature with mana value 2 or less. If this spell's additional cost was paid, you gain 2 life.",,false,false,false
Retched Wretch,B,,3.0,uncommon,{2}{B},Creature — Goblin,"When this creature dies, if it had a -1/-1 counter on it, return it to the battlefield under its owner's control and it loses all abilities.",,false,false,false
Scarblade Scout,B,,2.0,common,{1}{B},Creature — Elf Scout,"Lifelink
When this creature enters, mill two cards. (Put the top two cards of your library into your graveyard.)",,false,false,false
Scarblade's Malice,B,,1.0,common,{B},Instant,"Target creature you control gains deathtouch and lifelink until end of turn. When that creature dies this turn, create a 2/2 black and green Elf creature token.",,false,false,false
Shimmercreep,B,,5.0,uncommon,{4}{B},Creature — Elemental,"Menace (This creature can't be blocked except by two or more creatures.)
Vivid — When this creature enters, each opponent loses X life and you gain X life, where X is the number of colors among permanents you control.",,false,false,false
Taster of Wares,B,,3.0,rare,{2}{B},Creature — Goblin Warlock,"When this creature enters, target opponent reveals X cards from their hand, where X is the number of Goblins you control. You choose one of those cards. That player exiles it. If an instant or sorcery card is exiled this way, you may cast it for as long as you control this creature, and mana of any type can be spent to cast that spell.",,false,false,false
Twilight Diviner,B,,3.0,rare,{2}{B},Creature — Elf Cleric,"When this creature enters, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)
Whenever one or more other creatures you control enter, if they entered or were cast from a graveyard, create a token that's a copy of one of them. This ability triggers only once each turn.",,false,false,false
Unbury,B,,2.0,uncommon,{1}{B},Instant,"Choose one —
• Return target creature card from your graveyard to your hand.
• Return two target creature cards that share a creature type from your graveyard to your hand.",,false,false,false
"Ashling, Rekindled // Ashling, Rimebound",RU,,2.0,rare,,Legendary Creature — Elemental Sorcerer // Legendary Creature — Elemental Wizard,,,false,false,false
Boldwyr Aggressor,R,,5.0,uncommon,{3}{R}{R},Creature — Giant Warrior,"Double strike
Other Giants you control have double strike.",,false,false,false
Boneclub Berserker,R,,4.0,common,{3}{R},Creature — Goblin Berserker,This creature gets +2/+0 for each other Goblin you control.,,false,false,false
Boulder Dash,R,,2.0,uncommon,{1}{R},Sorcery,Boulder Dash deals 2 damage to any target and 1 damage to any other target.,,false,false,false
Brambleback Brute,R,,3.0,common,{2}{R},Creature — Giant Warrior,"This creature enters with two -1/-1 counters on it.
{1}{R}, Remove a counter from this creature: Target creature can't block this turn. Activate only as a sorcery.",,false,false,false
Burning Curiosity,R,,3.0,common,{2}{R},Sorcery,"As an additional cost to cast this spell, you may blight 1. (You may put a -1/-1 counter on a creature you control.)
Exile the top two cards of your library. If this spell's additional cost was paid, exile the top three cards instead. Until the end of your next turn, you may play those cards.",,false,false,false
Champion of the Path,R,,4.0,rare,{3}{R},Creature — Elemental Sorcerer,"As an additional cost to cast this spell, behold an Elemental and exile it. (Exile an Elemental you control or an Elemental card from your hand.)
Whenever another Elemental you control enters, it deals damage equal to its power to each opponent.
When this creature leaves the battlefield, return the exiled card to its owner's hand.",,false,false,false
